datetime,ID,Tmp1,Tmp2,Cnt
2022-10-04 20:07:57,2,20.06,21.06,"0
"
2022-10-04 20:09:59,2,20.06,21.06,"0
"
2022-10-04 20:28:17,2,20.12,21.12,"0
"
2022-10-04 20:44:53,2,20.12,21.12,"0
"
2022-10-04 22:01:40,2,19.94,20.81,"0
"
2022-10-04 22:13:55,2,19.94,20.87,"0
"
2022-10-04 23:09:12,2,20.00,20.87,"0
"
2022-10-04 23:29:01,2,20.00,21.00,"0
"
2022-10-04 23:36:45,2,20.00,20.94,"0
"
2022-10-04 20:09:53,1,21.25,21.56,"0
"
2022-10-04 20:25:39,1,21.25,21.69,"0
"
2022-10-04 20:44:49,1,21.25,21.69,"0
"
2022-10-04 21:59:10,1,21.06,21.37,"0
"
2022-10-04 22:10:35,1,21.12,21.44,"0
"
2022-10-04 22:51:16,1,21.06,21.44,"0
"
2022-10-04 23:28:36,1,21.12,21.62,"0
"
2022-10-04 23:34:46,1,21.12,21.56,"0
"
